date_time,Real,Predicted,close,Signal,Entry/Exit,Signal_Strength,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Minute Returns,Portfolio Cumulative Returns,Stock Minute Returns,Stock Cumulative Returns,num_date
2021-03-15 09:32:00,0.03439548686799408,-0.01094236925423665,12.2487,-1.0,0.0,-2.0,-89118.0,-44559.0,-1091579.6465999999,2048205.9160000002,956626.2694000003,-0.012588274675609745,-0.04337373059999994,0.02285594989561579,0.0915677467650522,737864.3972222222
2021-03-15 09:33:00,-0.0031570639305445024,-0.09418347244020124,12.67,-1.0,0.0,-15.0,-668385.0,-579267.0,-8468437.95,9387518.806,919080.8560000006,-0.03924773404304316,-0.08091914399999967,0.034395486867994096,0.1291127508644354,737864.3979166667
2021-03-15 09:34:00,-0.021377672209026186,-0.020886369659370525,12.63,-1.0,0.0,-3.0,-133677.0,534708.0,-1688340.51,2634156.766,945816.2559999998,0.02908927960523111,-0.05418374400000048,-0.0031570639305444903,0.1255480697251634,737864.3986111111
2021-03-15 09:35:00,0.01132686084142412,-0.02674244111748869,12.36,-1.0,0.0,-4.0,-178236.0,-44559.0,-2202996.96,3184906.006,981909.0460000001,0.038160466973407914,-0.01809095400000016,-0.0213776722090262,0.10148647203507677,737864.3993055555
2021-03-15 09:36:00,0.0,0.005357550072205221,12.5,1.0,2.0,1.0,44559.0,222795.0,556987.5,399968.50600000005,956956.006,-0.02541278146041237,-0.04304399400000014,0.011326860841424091,0.1139628560225292,737864.4
2021-03-15 09:37:00,0.00730399999999995,-0.025309584358130938,12.5,-1.0,-2.0,-4.0,-178236.0,-222795.0,-2227950.0,3184906.006,956956.006,0.0,-0.04304399400000014,0.0,0.1139628560225292,737864.4006944444
2021-03-15 09:38:00,-0.008053179576374206,0.00613240599743241,12.5913,1.0,2.0,1.0,44559.0,222795.0,561055.7367,379627.3224999998,940683.0591999998,-0.017004905866069953,-0.059316940800000384,0.007303999999999977,0.12209924072291778,737864.401388889
2021-03-15 09:39:00,-0.0059488066357618035,-0.01851031344110797,12.4899,-1.0,-2.0,-3.0,-133677.0,-178236.0,-1669612.3623000002,2605777.1388999997,936164.7765999995,-0.004803193334684708,-0.0638352234000007,-0.008053179576374192,0.11306277403486309,737864.4020833333
2021-03-15 09:40:00,0.00518702277779568,-0.03019113528798261,12.4156,-1.0,0.0,-5.0,-222795.0,-89118.0,-2766133.602,3712230.5796999997,946096.9776999997,0.01060945823669246,-0.053903022300000436,-0.005948806635761805,0.10644137881866511,737864.4027777778
2021-03-15 09:41:00,0.004711538461538382,-0.0428247818159344,12.48,-1.0,0.0,-7.0,-311913.0,-89118.0,-3892674.24,4824423.219699999,931748.9796999991,-0.01516546224984372,-0.06825102030000096,0.005187022777795702,0.1121805154528932,737864.4034722223
2021-03-15 09:42:00,-0.004689443965929742,-0.03475362826359532,12.5388,-1.0,0.0,-6.0,-267354.0,44559.0,-3352298.3352,4265706.830499999,913408.4952999991,-0.019683932904230428,-0.08659150470000088,0.004711538461538378,0.11742059672762317,737864.4041666667
2021-03-15 09:43:00,0.01963141025641015,-0.022084898935184543,12.48,-1.0,0.0,-4.0,-178236.0,89118.0,-2224385.2800000003,3153514.1904999996,929128.9104999993,0.01721071708976929,-0.07087108950000076,-0.0046894439659297404,0.1121805154528932,737864.4048611111
2021-03-15 09:44:00,0.009029469548133679,-0.019581813751911724,12.725,-1.0,0.0,-3.0,-133677.0,44559.0,-1701039.825,2586500.9154999997,885461.0904999997,-0.04699866671514963,-0.11453890950000034,0.01963141025641013,0.13401418743093463,737864.4055555556
2021-03-15 09:45:00,0.007056129720636431,0.01970172332289384,12.8399,1.0,2.0,3.0,133677.0,267354.0,1716399.3123,-846297.7091000006,870101.6031999995,-0.017346315343260366,-0.1298983968000006,0.009029469548133662,0.14425373400349373,737864.40625
2021-03-15 09:46:00,0.020099764123583826,-0.030090956287202437,12.9305,-1.0,-2.0,-5.0,-222795.0,-356472.0,-2880850.7475,3763063.4869,882212.7393999998,0.013919220646713804,-0.11778726060000033,0.007056129720636406,0.15232773678394507,737864.4069444444
2021-03-15 09:47:00,0.0005003639010190523,-0.025213161250972463,13.1904,-1.0,0.0,-4.0,-178236.0,44559.0,-2351004.1344,3175312.4533,824308.3189000003,-0.06563543906584346,-0.17569168109999989,0.02009976412358383,0.1754892524863656,737864.4076388889
2021-03-15 09:48:00,-0.020989618852769617,-0.013512217127069045,13.197,-1.0,0.0,-2.0,-89118.0,89118.0,-1176090.246,1999222.2073000001,823131.9613000001,-0.0014270844695223328,-0.17686803870000012,0.0005003639010188188,0.1760774248743453,737864.4083333333
2021-03-15 09:49:00,0.018188854489163936,-0.02645862341866661,12.92,-1.0,0.0,-4.0,-178236.0,-89118.0,-2302809.12,3150626.7673000004,847817.6473000003,0.029989949559258156,-0.1521823526999999,-0.02098961885276951,0.15139200798488606,737864.4090277777
2021-03-15 09:50:00,0.003420752565564488,-0.014203615600178634,13.155,-1.0,0.0,-2.0,-89118.0,89118.0,-1172347.29,1978279.4773000004,805932.1873000003,-0.04940385486594945,-0.19406781269999984,0.018188854489163964,0.17233450967810948,737864.4097222222
2021-03-15 09:51:00,0.0121287878787879,-0.01781551239970344,13.2,-1.0,0.0,-3.0,-133677.0,-44559.0,-1764536.4,2566458.2773,801921.8773000003,-0.004975989373789957,-0.19807812269999991,0.003420752565564511,0.1763447759597907,737864.4104166667
2021-03-15 09:52:00,-0.006691566679890105,0.005920422573808522,13.3601,1.0,2.0,1.0,44559.0,178236.0,595312.6958999999,185207.49370000046,780520.1896000004,-0.02668799580834169,-0.21947981039999986,0.012128787878787906,0.19061241221972725,737864.411111111
